href;quo;lbxd250;imdb250;crtk250;tmts200;rymt250
the-godfather;11.149999999999999;(8i)2.35;(2i)1.75;(2i)2.35;(7i)2.35;(2i)2.35
the-godfather-part-ii;10.733333333333333;(5i)2.35;(4i)1.75;(3i)2.35;(2i)2.35;(12i)1.9333333333333336
12-angry-men;10.002040816326529;(3i)2.35;(5i)1.75;(6i)2.35;(98i)1.2020408163265306;(7i)2.35
seven-samurai;9.596969696969698;(4i)2.35;(22i)0.9545454545454546;(8i)2.35;(12i)1.9333333333333336;(11i)2.0090909090909093
parasite-2019;8.704218657159833;(7i)2.35;(34i)0.7941176470588236;(22i)1.5545454545454547;(6i)2.35;(18i)1.6555555555555557
the-good-the-bad-and-the-ugly;8.620281306715064;(19i)1.6263157894736842;(10i)1.75;(16i)1.725;(145i)1.1689655172413793;(6i)2.35
harakiri;8.610606060606061;(1i)2.7666666666666666;(44i)0.7272727272727273;(1i)2.7666666666666666;0;(3i)2.35
pulp-fiction;8.005299103390305;(166i)1.1602409638554219;(8i)1.75;(43i)1.3325581395348838;(32i)1.4125;(9i)2.35
the-shawshank-redemption;7.392621259029929;(10i)2.35;(1i)2.166666666666667;(17i)1.6882352941176473;0;(114i)1.1877192982456142
apocalypse-now;7.340493646138807;(33i)1.403030303030303;(55i)0.6818181818181819;(124i)1.1806451612903226;(16i)1.725;(5i)2.35
come-and-see;7.3189810189810185;(2i)2.35;(91i)0.6098901098901099;(11i)2.0090909090909093;0;(4i)2.35
schindlers-list;7.232208911307271;(13i)1.8692307692307693;(6i)1.75;(75i)1.2333333333333334;(80i)1.225;(183i)1.1546448087431695
2001-a-space-odyssey;7.172924804011191;(126i)1.1793650793650794;(96i)0.6041666666666666;(191i)1.1523560209424084;(27i)1.4703703703703703;(1i)2.7666666666666666
citizen-kane;6.982410179261579;(237i)1.1421940928270042;(102i)0.5980392156862745;(140i)1.1714285714285715;(1i)2.7666666666666666;(49i)1.3040816326530613
tokyo-story;6.892468551006868;(38i)1.3631578947368421;(214i)0.5467289719626168;(41i)1.3439024390243903;(3i)2.35;(53i)1.288679245283019
the-lord-of-the-rings-the-return-of-the-king;6.879777710616745;(18i)1.6555555555555557;(7i)1.75;(203i)1.1492610837438424;(169i)1.1591715976331363;(152i)1.1657894736842107
ikiru;6.773415473415474;(14i)1.8142857142857145;(99i)0.601010101010101;(13i)1.8692307692307693;(150i)1.1666666666666667;(45i)1.3222222222222224
the-dark-knight;6.751963074185297;(24i)1.5166666666666668;(3i)1.75;(111i)1.1900900900900901;(185i)1.154054054054054;(243i)1.1411522633744857
high-and-low;6.719309372797745;(6i)2.35;(86i)0.6162790697674418;(5i)2.35;0;(33i)1.403030303030303
a-brighter-summer-day;6.705743475510823;(17i)1.6882352941176473;0;(69i)1.2449275362318841;(8i)2.35;(31i)1.4225806451612903
goodfellas;6.633722437385035;(22i)1.5545454545454547;(17i)1.0882352941176472;(53i)1.288679245283019;(85i)1.2176470588235295;(26i)1.4846153846153847
casablanca;6.625929062885586;(154i)1.164935064935065;(46i)0.717391304347826;(99i)1.201010101010101;(9i)2.35;(108i)1.1925925925925926
